original_dialect,offensive_span,mitigated_dialect
목사도 아닌게 와 저기에 찬성을 샀고 있음?,목사도 아닌게 와 저기에 찬성을 샀고 있음?,목사도 아닌게 와 저기에 찬성을 샀고 있음?
어는 언론이 어는 기자가 요래 시사적 생각을 전달하는가 기자가 기레기에서 구레기가 대고 이젠 악레기의 실체를 드러내는 현실에 기자는 어데 이고 누가 기자인가,레기에서 구레기가 대고 이젠 악레기의,어는 언론이 어는 기자가 요래 시사적 생각을 전달하는가 기자가 기레기에서 구레기가 대고 이젠 악레기의 실체를 드러내는 현실에 기자는 어데 이고 누가 기자인가
요 틀니 입장에선 503이 나와야 좌빨정권이 아임 ㅋㅋㅋ,503이 나와야 좌빨정권이 아임 ㅋㅋㅋ,요 틀니 입장에선 503이 나와야 좌빨정권이 아임 ㅋㅋㅋ
듣다보면 신지예는 마 강 고로 나왔다 뇌피셜로 씨부리고 있노 아 답답디 디질것 같노 고마 봐야제,다 뇌피셜로 씨부리고 있노 아 답답디 디질것 ,듣다보면 신지예는 마 강 고로 나왔다 뇌피셜로 씨부리고 있노 아 답답디 디질것 같노 고마 봐야제
책임져야 한사람이 오이려 큰소리치네.백년하청을 기다려라.,책임져야 한사람이 오이려 큰소리치네.,책임져야 한사람이 오이려 큰소리치네.백년하청을 기다려라.
국회의원은 하나같이 비정상적인 아들 밲에 없나? 마 너 돈주고 너 집에가 돌봐라.,하나같이 비정상적인 아들 밲에 없나?,국회의원은 하나같이 비정상적인 아들 밲에 없나? 마 너 돈주고 너 집에가 돌봐라.
당명도 고대로 정책도 그대로면서 말로만 합당 운운하니 되겄냐,말로만 합당 운운하니 되겄냐,당명도 고대로 정책도 그대로면서 말로만 합당 운운하니 되겄냐
부관참시를 캐야지 무죄는 개뿔,부관참시를 캐야지 무죄는 개뿔,부관참시를 캐야지 무죄는 개뿔
누구냐?? 대번에 더듬어만진당, 더듬어만진,누구냐?? 대번에 더듬어만진당
강 조용히 살마 좋겠음 세상사람들은 일일이 너거들의 모든 껄 고로 들어줄 수 엄따,강 조용히 살마 좋겠음 ,강 조용히 살마 좋겠음 세상사람들은 일일이 너거들의 모든 껄 고로 들어줄 수 엄따
누구든..받기전에...반드시!!!!!확실히 해놔야한다.... 어데가 어뜨게 지내게 칼 긴지 공표후 받아라!!!!!!일단 받아놓고 떠넘기려는건...무책임한 생색내기 정치일뿐,책임한 생색내기 정치일뿐,누구든..받기전에...반드시!!!!!확실히 해놔야한다.... 어데가 어뜨게 지내게 칼 긴지 공표후 받아라!!!!!!일단 받아놓고 떠넘기려는건...무책임한 생색내기 정치일뿐
애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나,애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나,애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나
"아무래 요새 기자들 수준이 땅바닥이라고 하나, 저리 무능한 아들이 뉴스를 진행하고 기자라니, 말문이 막힌다. 지가 자료제출하고 팩트 체크하고서도 모른다?? ㅉㅉ","아무래 요새 기자들 수준이 땅바닥이라고 하나, 저리 무능한 아들이 뉴스를 진행하고 기자라니, 말문이 막힌다. 지가 자료제출하고 팩트 체크하고서도 모른다?? ㅉㅉ","아무래 요새 기자들 수준이 땅바닥이라고 하나, 저리 무능한 아들이 뉴스를 진행하고 기자라니, 말문이 막힌다. 지가 자료제출하고 팩트 체크하고서도 모른다?? ㅉㅉ"
ㄴ 저들은 강 난민뿐이에요 그딴 색안경 마 뽑아버리기전에 ~ 님같은 사람은 미국이 우리보다 우월보다고 생각하는 열등감 자격지심 쩌는 꼴통 50-60대로 보입니다.,딴 색안경 마 뽑아버리기전에 ~ 님같은 사람은 미국이 우리보다 우월보다고 생각하는 열등감 자격지심 쩌는 꼴통 50-60대로 보입니다.,ㄴ 저들은 강 난민뿐이에요 그딴 색안경 마 뽑아버리기전에 ~ 님같은 사람은 미국이 우리보다 우월보다고 생각하는 열등감 자격지심 쩌는 꼴통 50-60대로 보입니다.
소값은 후히 쳐주겠지만 소 마고 딴건 관심없다 가나 이준석 아가리에서 나왔는 말 고대로 아니가? 이딴식으로 사람을 소리고 모욕준년이 뭐어째?,아가리에서 나왔는 말 고대로 아니가? 이딴식으로 사람을 소리고 모욕준년이 뭐어째,소값은 후히 쳐주겠지만 소 마고 딴건 관심없다 가나 이준석 아가리에서 나왔는 말 고대로 아니가? 이딴식으로 사람을 소리고 모욕준년이 뭐어째?
일반 금마들은 차별 한적 없지요. 와 스스로 거런 안타까운 일을 저질런는지. 자기인생을 스스로 망치다니....,일반 금마들은 차별 한적 없지요. 와 스스로 거런 안타까운 일을 저질런는지. 자기인생을 스스로 망치다니....,일반 금마들은 차별 한적 없지요. 와 스스로 거런 안타까운 일을 저질런는지. 자기인생을 스스로 망치다니....
낙엽이 걍 사면얘기 꺼낼때부터 X맨이냐? 대통령님 눈귀막고 꼐속 잘되고있다라고만 말하는건지 걍 지발 정신차리고 폐미좀 뿌라 아익도 아무래 개판쳐도 국짐은 안찍을거라고 생각하고있는거 아니제?,낙엽이 걍 사면얘기 꺼낼때부터 X맨이냐? 대통령님 눈귀막고 꼐속 잘되고있다라고만 말하는건지 걍 지발 정신차리고 폐미좀 뿌라 아익도 아무래 개판쳐도 국짐은 안찍을거라고 생각하고있는거 아니제?,낙엽이 걍 사면얘기 꺼낼때부터 X맨이냐? 대통령님 눈귀막고 꼐속 잘되고있다라고만 말하는건지 걍 지발 정신차리고 폐미좀 뿌라 아익도 아무래 개판쳐도 국짐은 안찍을거라고 생각하고있는거 아니제?
나왔다 하고싶은 껀 고로 샀고 시프고 그에 따른 대가는 치루고 싶다 않다?? 쫄리 이기적이네,나왔다 하고싶은 껀 고로 샀고 시프고 그에 따른 대가는 치루고 싶다 않다?? 쫄리 이,나왔다 하고싶은 껀 고로 샀고 시프고 그에 따른 대가는 치루고 싶다 않다?? 쫄리 이기적이네
먼 가 풀뜯어먹는 기사쓰고 있니!한걸레 기자야 건강한 기사 좀써라,먼 가 풀뜯어먹는 기사쓰고 있니!한걸레 기자야 건강한 기사 좀써라,먼 가 풀뜯어먹는 기사쓰고 있니!한걸레 기자야 건강한 기사 좀써라
"차별금지법은 페미, 동성애, 난민, 이슬람, 중국인, 조선족, 북한인에게 특혜를 쭈는 동시에 오이려 차별이라는 프레임으로 팩트체크도 못하게하는 국민을 역차별하는 초악법임.","페미, 동성애, 난민, 이슬람, 중국인, 조선족, 북한인에게 특혜를 쭈는 동시에 오이려 차별이라는 프레임으로 팩트체크도 못하게하는 국민을 역차별하는 초악법임","차별금지법은 페미, 동성애, 난민, 이슬람, 중국인, 조선족, 북한인에게 특혜를 쭈는 동시에 오이려 차별이라는 프레임으로 팩트체크도 못하게하는 국민을 역차별하는 초악법임."
진짜에지간히 헌다 아나 요정도 논란되면 조심이라도 허것다. 아주그냥 개졸로 갑네 ㅋㅋㅋ,진짜에지간히 헌다 아나 요정도 논란되면 조심이라도 허것다. 아주그냥 개졸로 갑네 ㅋㅋㅋ,진짜에지간히 헌다 아나 요정도 논란되면 조심이라도 허것다. 아주그냥 개졸로 갑네 ㅋㅋㅋ
한겨레 자체가 빨갱이인데 내로남불 여런것도 언론이라고 쯔쯔쯔 폭파시켜없애야지 한겨레 jtbc kbs mbc 등등,빨갱이인데 내로남불 여런것도 언론이라고 쯔쯔쯔 폭파시켜없애야지,한겨레 자체가 빨갱이인데 내로남불 여런것도 언론이라고 쯔쯔쯔 폭파시켜없애야지 한겨레 jtbc kbs mbc 등등
ㆍ이번에 알게된것 ㅡ 오마이는 더불면서 주물주물 만진 당 좌파 애들이었다는거..ㅡㅡ 시민기자 어짜고 하지만..윈숭이 공산당에는 침묵,더불면서 주물주물 만진 당 좌파 애들이었다는거..ㅡㅡ 시민기자 어짜고 하지만..윈숭이 공산당에는 침묵,ㆍ이번에 알게된것 ㅡ 오마이는 더불면서 주물주물 만진 당 좌파 애들이었다는거..ㅡㅡ 시민기자 어짜고 하지만..윈숭이 공산당에는 침묵
각종 미사어구와 권고한것을 가 현혹하지말고 동성애 합법화라고 명시하시오,각종 미사어구와 권고한것을 가 현혹하지말고 동성애 합법화라고 명시하시오,각종 미사어구와 권고한것을 가 현혹하지말고 동성애 합법화라고 명시하시오
"기승전 차별금지법을 주장하기 위해 참 길게도 썼네요! 반대합니다! 차별금지법 안에는 성적지향, 성정체성이라는 보호조항까지 있으며....변태성욕에 대해 잘못됐다고 말할 수 없게 되는 전체주의 독재법입니다! 양심까지 억압하는 법은 악법 중 악법입니다! 결사 반대!",변태성욕에 대해 잘못됐다고 말할 수 없게 되는 전체주의 독재법입니다!,"기승전 차별금지법을 주장하기 위해 참 길게도 썼네요! 반대합니다! 차별금지법 안에는 성적지향, 성정체성이라는 보호조항까지 있으며....변태성욕에 대해 잘못됐다고 말할 수 없게 되는 전체주의 독재법입니다! 양심까지 억압하는 법은 악법 중 악법입니다! 결사 반대!"
요건 차별이 아니제. 법과 질서를 지키는게 차별? 억지좀 부리지 마세요.인권을 아무데나 붙이지말고 정상적인 사고를 하시길 한겨레.,억지좀 부리지 마세요.인권을 아무데나 붙이지말고 정상적인 사고를 하시길 한겨레.,요건 차별이 아니제. 법과 질서를 지키는게 차별? 억지좀 부리지 마세요.인권을 아무데나 붙이지말고 정상적인 사고를 하시길 한겨레.
이라다 학교도 없어지겠어 강 내라도 없어지는거 아니가?,이라다 학교도 없어지겠어 강 내라도 없어지는거 아니가?,이라다 학교도 없어지겠어 강 내라도 없어지는거 아니가?
효과도없는 백신을 맞아주니 이런개소리가 먹어진다,이런개소리가 먹어진,효과도없는 백신을 맞아주니 이런개소리가 먹어진다
저 네이팜탄 되나 쏴면 되긋네,이팜탄 되나 쏴면 되긋네,저 네이팜탄 되나 쏴면 되긋네
자는 머슨 잘못이냐? 아바이 잘못둔 잘못?,아바이 잘못둔 잘못?,자는 머슨 잘못이냐? 아바이 잘못둔 잘못?
앤 머고 ? 내생각에 강 떠도는거 퍼온거같은데 앙헬 50번넘게갔지만 말하는게 다틀린데?....,앤 머고,앤 머고 ? 내생각에 강 떠도는거 퍼온거같은데 앙헬 50번넘게갔지만 말하는게 다틀린데?....
난주는 내성발톱 차별 금지법도 만들듯.,성발톱 차별 금지법도 만들듯.,난주는 내성발톱 차별 금지법도 만들듯.
메갈25 불매 다신 갈 일 엄슴,메갈25 불매 다신 갈 일 엄슴,메갈25 불매 다신 갈 일 엄슴
공산주의 국가로 안자 가는건가요?,공산주의 국가로 안자 가는건가요?,공산주의 국가로 안자 가는건가요?
여가부 폐지만 사또 할일 다했다싶다 힘내봐라,폐지만 사또 할일 다했다싶다,여가부 폐지만 사또 할일 다했다싶다 힘내봐라
니네들은 벗고다녀도 남자들 아무도 안봐,벗고다녀도 남자들 아무도 안봐,니네들은 벗고다녀도 남자들 아무도 안봐
차별금지법 제정 반대는 수도 엄시 10만 넘겼는데 건 입다물고 있드만은 겁나 웃기네. 차별금지법 들어오는순간 요 내라는 겁나 끝이다,차별금지법 들어오는순간 요 내라는 겁나 끝이다,차별금지법 제정 반대는 수도 엄시 10만 넘겼는데 건 입다물고 있드만은 겁나 웃기네. 차별금지법 들어오는순간 요 내라는 겁나 끝이다
ㅋㅋ 누가 누구한티 갑질을 나? 공정위는 걍 세검 도둑만도 몬한 기관인듯 ㄹㅇ,걍 세검 도둑만도 몬한 기관인듯 ㄹㅇ,ㅋㅋ 누가 누구한티 갑질을 나? 공정위는 걍 세검 도둑만도 몬한 기관인듯 ㄹㅇ
말이 시민단체지 머하는 단체인지 알수도 엄슴,머하는 단체인지 알수도 엄슴,말이 시민단체지 머하는 단체인지 알수도 엄슴
한국 겨들어와서 지들 종교만 중요한가???학생으로 들어왔으면서 한국말 되나 못해???저런것들은 고로 추방시켜야함....,한국 겨들어와서 지들 종교만 중요한가???학생으로 들어왔으면서 한국말 되나 못해???저런것들은 고로 추방시켜야함...,한국 겨들어와서 지들 종교만 중요한가???학생으로 들어왔으면서 한국말 되나 못해???저런것들은 고로 추방시켜야함....
차별금지법이 얼매 무서운건지 아나? 와 민주당은 기본권을 제한하지 못해서 안달이냐. 마치 공산당같이,차별금지법이 얼매 무서운건지 아나? 와 민주당은 기본권을 제한하지 못해서 안달이냐. 마치 공산당같이,차별금지법이 얼매 무서운건지 아나? 와 민주당은 기본권을 제한하지 못해서 안달이냐. 마치 공산당같이
"군인을 사람죽이는 괴물, 또는 집지키는 가 끕으로 생각하는 페미 지상주의에서는 우리나라도 곧 저래 되질 수 있다는 껄 알아라.","사람죽이는 괴물, 또는 집지키는 가 끕으로 생각하는","군인을 사람죽이는 괴물, 또는 집지키는 가 끕으로 생각하는 페미 지상주의에서는 우리나라도 곧 저래 되질 수 있다는 껄 알아라."
아 잘가세요 페미여러분들~ 그러이 몇년전부터 페미탈출은 능지순 이랬잖아 능지가 딸리가 고소 가가 이젠 밥줄도 끊기겠네?? ㅋㅋ,그러이 몇년전부터 페미탈출은 능지순 이랬잖아 능지가 딸리가 고소 가가 이젠 밥줄도 끊기겠네?? ㅋㅋ,아 잘가세요 페미여러분들~ 그러이 몇년전부터 페미탈출은 능지순 이랬잖아 능지가 딸리가 고소 가가 이젠 밥줄도 끊기겠네?? ㅋㅋ
출산이 머슨 의무야. 검 이성애자도 애엄마 아니마 니들이 고 혐오하던 퀴어랑 똑같은거냐?,출산이 머슨 의무야. 검 이성애자도 애엄마 아니마 니들이 고 혐오하던 퀴어랑 똑같은거냐?,출산이 머슨 의무야. 검 이성애자도 애엄마 아니마 니들이 고 혐오하던 퀴어랑 똑같은거냐?
"니 태어나서 부모님한테 ""너 남자애라서 안낳으려고 했어""이 소리 들어본적 없재? 감사한줄 알어ㅋ","니 태어나서 부모님한테 ""너 남자애라서 안낳으려고 했어""이 소리 들어본적 없재? 감사한줄 알어ㅋ","니 태어나서 부모님한테 ""너 남자애라서 안낳으려고 했어""이 소리 들어본적 없재? 감사한줄 알어ㅋ"
내 노란당은 와 있는걸까요? 대한민국의 가정 파괴를 끊임없이 시도하면서..,내 노란당은 와 있는걸까요? 대한민국의 가정 파괴를 끊임없이 시도하면서..,내 노란당은 와 있는걸까요? 대한민국의 가정 파괴를 끊임없이 시도하면서..
"페미니즘을 성평등이라고 주장하는 쪽에서 반대하는 쭉에 스는 호칭이 ""도태남"" 이따위인데 진정 지들이 옳다고 믿는건가? ㅋㅋ","""도태남"" 이따위인데 진정 지들이 옳다고 믿는건가? ㅋㅋ","페미니즘을 성평등이라고 주장하는 쪽에서 반대하는 쭉에 스는 호칭이 ""도태남"" 이따위인데 진정 지들이 옳다고 믿는건가? ㅋㅋ"
"도대체 멀 얼매 도와줬다고 저러는거야오면 아파트도 한채씩 주겠네, 국민들은 망해가고 있는디 미틴",민들은 망해가고 있는디 미틴,"도대체 멀 얼매 도와줬다고 저러는거야오면 아파트도 한채씩 주겠네, 국민들은 망해가고 있는디 미틴"
와 야꾸 동포라 하는거임? 조선족은 쭝국 소수민족 중 하나임,와 야꾸 동포라 하는거임?,와 야꾸 동포라 하는거임? 조선족은 쭝국 소수민족 중 하나임
아프간인 한국에 만명 넘게 살고있다 고마 받아라 출산율 높아서 금방 불어남 한국사는 무슬림들이 전세계에서 한국이 가장 살기좋단다,고마 받아라 출산율 높아서 금방 불어남,아프간인 한국에 만명 넘게 살고있다 고마 받아라 출산율 높아서 금방 불어남 한국사는 무슬림들이 전세계에서 한국이 가장 살기좋단다
오나 걍 이삼십대 머슴 수준 대게 보고 갑니다이,오나 걍 이삼십대 머슴 수준 대게 보고 갑니,오나 걍 이삼십대 머슴 수준 대게 보고 갑니다이
나가 꼬였나... 황인은 인종차별 ing..ㅋ,황인은 인종차별 ing..ㅋ,나가 꼬였나... 황인은 인종차별 ing..ㅋ
하는일이 고로 쓸데없는거네.,하는일이 고로 쓸데없는거네,하는일이 고로 쓸데없는거네.
님들 가 알음? 흑인을 노예로 팔아먹는 아들이 같는 흑인이라는 거다,인을 노예로 팔아먹는 아들이 같는 흑인이라는 거다,님들 가 알음? 흑인을 노예로 팔아먹는 아들이 같는 흑인이라는 거다
니들이 머슨 난민이야???니들은 울 민주화운동 할때 도와줬어??관심도 없었잖아???,니들이 머슨 난민이야???,니들이 머슨 난민이야???니들은 울 민주화운동 할때 도와줬어??관심도 없었잖아???
맨날젼날 뚜두러 맞으믄서 교육시켜야함 ㅋㅋㅋㅋ,뚜두러 맞으믄서 교육시켜야함 ㅋㅋㅋㅋ,맨날젼날 뚜두러 맞으믄서 교육시켜야함 ㅋㅋㅋㅋ
안자는 믿고 걸르는 경향ㅉㅉ,안자는 믿고 걸르는 경향ㅉㅉ,안자는 믿고 걸르는 경향ㅉㅉ
그딴거 관심도 없는디 겁나 당황했나 보네ㅋㅋ,그딴거 관심도 없는디 겁나 당황했나 보네ㅋㅋ,그딴거 관심도 없는디 겁나 당황했나 보네ㅋㅋ
리뷰하랬지 질투하냐고 ㅋㅋㅋ이분 가 재밌네 ㅋㅋㅋ,리뷰하랬지 질투하냐고 ㅋㅋㅋ이분 가 재밌네 ㅋㅋㅋ,리뷰하랬지 질투하냐고 ㅋㅋㅋ이분 가 재밌네 ㅋㅋㅋ
"미친.. 인간으로써 어떠게 거런 반응을..,",미친.. 인간으로써 어떠게 거런 반응을..,"미친.. 인간으로써 어떠게 거런 반응을..,"
대단타. 여기서 이려고 있네예.,대단타. 여기서 이려고 있네예.,대단타. 여기서 이려고 있네예.
내나 정신병이 맞는군요 생각이란걸 못하는군요,내나 정신병이 맞는군요 생각이란걸 못하는군요,내나 정신병이 맞는군요 생각이란걸 못하는군요
갈라치기 원조 누규~?? 대번에 너님,갈라치기 원조 누규~?? 대번에 너님,갈라치기 원조 누규~?? 대번에 너님
이철희의 학실한 내부총질,내부총질,이철희의 학실한 내부총질
여게 맺 번째냐? 놀랍지도 않다.,놀랍지도 않다,여게 맺 번째냐? 놀랍지도 않다.
우리도 또이또이인 껄 알고 있다 문재앙 일가라고 말야., 문재앙 일가라고 말야,우리도 또이또이인 껄 알고 있다 문재앙 일가라고 말야.
혹시 간첩인가 하두 일상적인 싸람들이 간첩이여서 의심이가네,간첩인가 하두 일상적인 싸람들이 간첩이여서 의심이가네,혹시 간첩인가 하두 일상적인 싸람들이 간첩이여서 의심이가네
요건 중국인 조선족 북한사람들 이단교 좋으라고 만든거. 요걸 모르고로 이름만 보고 좋단다. 으이그 개돼지 소리 들어도 사다, 이름만 보고 좋단다. 으이그 개돼지 소리 들어도 사,요건 중국인 조선족 북한사람들 이단교 좋으라고 만든거. 요걸 모르고로 이름만 보고 좋단다. 으이그 개돼지 소리 들어도 사다
그놈아는 그놈이면 다행이게요..그놈보다 드 쎈 놈이 왔어요..,그놈아는 그놈이면 다행이게요..그놈보다 드 쎈 놈이 왔어요.,그놈아는 그놈이면 다행이게요..그놈보다 드 쎈 놈이 왔어요..
오조오억개 ㅋ 머가 많다는 말인지 알면서 안쓴거지?ㅋ,오조오억개 ㅋ 머가 많다는 말인지 알면서 안쓴거지?ㅋ,오조오억개 ㅋ 머가 많다는 말인지 알면서 안쓴거지?ㅋ
도대체 이녀석들이 국민을 위해 멀 칼 수 있다 설치는거지? 낮술 마시구 애국가 4절까지 부르는건가?,치는거지? 낮술 마시구 애국가 4절까지 부르는건가?,도대체 이녀석들이 국민을 위해 멀 칼 수 있다 설치는거지? 낮술 마시구 애국가 4절까지 부르는건가?
검 한국에서 외국인들오면 비하하고 시비 트세요 한국에서는 우리가잉 왕이니까요,검 한국에서 외국인들오면 비하하고 시비 트세요 한국에서는 우리가잉 왕이니까요,검 한국에서 외국인들오면 비하하고 시비 트세요 한국에서는 우리가잉 왕이니까요
머크데이 따문에 발작버튼 눌린거 맞으믄서 이제와서 아닌척.. 웅앵웅이 문제인척... 웅앵웅이 도대체 뭔데ㅋㅋㅋㅋ,머크데이 따문에 발작버튼 눌린거 맞으믄서 이제와서 아닌척.. 웅앵웅이 문제인척... 웅앵웅이 도대체 뭔데ㅋㅋㅋㅋ,머크데이 따문에 발작버튼 눌린거 맞으믄서 이제와서 아닌척.. 웅앵웅이 문제인척... 웅앵웅이 도대체 뭔데ㅋㅋㅋㅋ
아들장가다 보냈다~ 증여도 모하고 돈또 못주고~~~,아들장가다 보냈다~ 증여도 모하고 돈또 못주고~~~,아들장가다 보냈다~ 증여도 모하고 돈또 못주고~~~
ㅇㅈ 재밌대이 ㅇㅈㄹㅋㅋ,ㅇㅈ 재밌대이 ㅇㅈㄹㅋ,ㅇㅈ 재밌대이 ㅇㅈㄹㅋㅋ
차별금지법 절때 반대!!,절때 반대!!,차별금지법 절때 반대!!
남에 인생에 김놔라 배놔라 되는 악플들 걍 딱밤마렵다,밤마렵다,남에 인생에 김놔라 배놔라 되는 악플들 걍 딱밤마렵다
세종대는 세종대왕 이름에 먹칠하지 마래이 빨갱이 대학 주제에, 빨갱이 대학 주제,세종대는 세종대왕 이름에 먹칠하지 마래이 빨갱이 대학 주제에
S 시 B 방 S 쌔,S 시 B 방 S 쌔,S 시 B 방 S 쌔
